time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.046000,-0.513290,-0.504195,0.857030,0.999924,0.004776,-0.011320,0.001026,
0.046000,-0.513290,-0.504195,0.857026,0.999924,0.004776,-0.011320,0.001026,
0.048000,-0.513289,-0.504194,0.857020,0.999924,0.004776,-0.011320,0.001026,
0.048000,-0.513289,-0.504194,0.857014,0.999924,0.004776,-0.011320,0.001026,
0.050000,-0.513289,-0.504194,0.857008,0.999924,0.004776,-0.011320,0.001026,
0.050000,-0.513288,-0.504194,0.857003,0.999924,0.004776,-0.011320,0.001026,
0.052000,-0.513288,-0.504194,0.856997,0.999924,0.004776,-0.011320,0.001026,
0.053000,-0.513287,-0.504194,0.856991,0.999924,0.004776,-0.011320,0.001026,
0.054000,-0.513287,-0.504194,0.856985,0.999924,0.004776,-0.011320,0.001026,
0.055000,-0.513286,-0.504193,0.856980,0.999924,0.004776,-0.011320,0.001026,
0.056000,-0.513286,-0.504193,0.856974,0.999924,0.004776,-0.011320,0.001026,
0.057000,-0.513286,-0.504193,0.856968,0.999924,0.004776,-0.011320,0.001026,
0.057000,-0.513285,-0.504193,0.856960,0.999924,0.004776,-0.011320,0.001026,
0.058000,-0.513284,-0.504193,0.856952,0.999924,0.004776,-0.011320,0.001026,
0.060000,-0.513284,-0.504193,0.856943,0.999924,0.004776,-0.011320,0.001026,
0.060000,-0.513283,-0.504192,0.856935,0.999924,0.004776,-0.011320,0.001026,
0.062000,-0.513282,-0.504192,0.856927,0.999924,0.004776,-0.011320,0.001026,
0.062000,-0.513282,-0.504192,0.856919,0.999924,0.004776,-0.011320,0.001026,
0.063000,-0.513281,-0.504192,0.856911,0.999924,0.004776,-0.011320,0.001026,
0.065000,-0.513280,-0.504192,0.856903,0.999924,0.004776,-0.011320,0.001026,
0.065000,-0.513280,-0.504191,0.856895,0.999924,0.004776,-0.011320,0.001026,
0.066000,-0.513279,-0.504191,0.856887,0.999924,0.004776,-0.011320,0.001026,
0.067000,-0.513278,-0.504191,0.856876,0.999924,0.004776,-0.011320,0.001026,
0.068000,-0.513278,-0.504191,0.856865,0.999924,0.004776,-0.011320,0.001026,
0.070000,-0.513277,-0.504190,0.856853,0.999924,0.004776,-0.011320,0.001026,
0.071000,-0.513276,-0.504190,0.856842,0.999924,0.004776,-0.011320,0.001026,
0.071000,-0.513275,-0.504190,0.856832,0.999924,0.004776,-0.011320,0.001026,
0.072000,-0.513274,-0.504190,0.856821,0.999924,0.004776,-0.011320,0.001026,
0.073000,-0.513273,-0.504189,0.856810,0.999924,0.004776,-0.011320,0.001026,
0.074000,-0.513273,-0.504189,0.856799,0.999924,0.004776,-0.011320,0.001026,
0.075000,-0.513272,-0.504189,0.856788,0.999924,0.004776,-0.011320,0.001026,
0.076000,-0.513271,-0.504189,0.856778,0.999924,0.004776,-0.011320,0.001026,
0.077000,-0.513270,-0.504188,0.856763,0.999924,0.004776,-0.011320,0.001026,
0.078000,-0.513269,-0.504188,0.856749,0.999924,0.004776,-0.011320,0.001026,
0.079000,-0.513268,-0.504188,0.856735,0.999924,0.004776,-0.011320,0.001026,
0.080000,-0.513266,-0.504187,0.856721,0.999924,0.004776,-0.011320,0.001026,
0.082000,-0.513265,-0.504187,0.856707,0.999924,0.004776,-0.011320,0.001026,
0.083000,-0.513264,-0.504187,0.856693,0.999924,0.004776,-0.011320,0.001026,
0.083000,-0.513263,-0.504186,0.856679,0.999924,0.004776,-0.011320,0.001026,
0.085000,-0.513262,-0.504186,0.856665,0.999924,0.004776,-0.011320,0.001026,
0.086000,-0.513261,-0.504186,0.856651,0.999924,0.004776,-0.011320,0.001026,
0.087000,-0.513260,-0.504185,0.856637,0.999924,0.004776,-0.011320,0.001026,
0.088000,-0.513259,-0.504185,0.856619,0.999924,0.004776,-0.011320,0.001026,
0.088000,-0.513257,-0.504184,0.856601,0.999924,0.004776,-0.011320,0.001026,
0.089000,-0.513256,-0.504184,0.856584,0.999924,0.004776,-0.011320,0.001026,
0.090000,-0.513255,-0.504183,0.856566,0.999924,0.004776,-0.011320,0.001026,
0.092000,-0.513253,-0.504183,0.856549,0.999924,0.004776,-0.011320,0.001026,
0.092000,-0.513252,-0.504183,0.856531,0.999924,0.004776,-0.011320,0.001026,
0.093000,-0.513251,-0.504182,0.856514,0.999924,0.004776,-0.011320,0.001026,
0.094000,-0.513249,-0.504182,0.856496,0.999924,0.004776,-0.011320,0.001026,
0.095000,-0.513248,-0.504181,0.856479,0.999924,0.004776,-0.011320,0.001026,
0.096000,-0.513247,-0.504181,0.856462,0.999924,0.004776,-0.011320,0.001026,
0.098000,-0.513245,-0.504180,0.856440,0.999924,0.004776,-0.011320,0.001026,
0.098000,-0.513243,-0.504180,0.856419,0.999924,0.004776,-0.011320,0.001026,
0.099000,-0.513242,-0.504179,0.856397,0.999924,0.004776,-0.011320,0.001026,
0.100000,-0.513240,-0.504179,0.856376,0.999924,0.004776,-0.011320,0.001026,
0.101000,-0.513238,-0.504178,0.856354,0.999924,0.004776,-0.011320,0.001026,
0.102000,-0.513237,-0.504178,0.856333,0.999924,0.004776,-0.011320,0.001026,
0.103000,-0.513235,-0.504177,0.856312,0.999924,0.004776,-0.011320,0.001026,
0.104000,-0.513234,-0.504177,0.856291,0.999924,0.004776,-0.011320,0.001026,
0.105000,-0.513232,-0.504176,0.856270,0.999924,0.004776,-0.011320,0.001026,
0.107000,-0.513230,-0.504176,0.856249,0.999924,0.004776,-0.011320,0.001026,
0.107000,-0.513228,-0.504175,0.856224,0.999924,0.004776,-0.011320,0.001026,
0.108000,-0.513226,-0.504175,0.856198,0.999924,0.004776,-0.011320,0.001026,
0.109000,-0.513224,-0.504174,0.856172,0.999924,0.004776,-0.011320,0.001026,
0.111000,-0.513222,-0.504173,0.856147,0.999924,0.004776,-0.011320,0.001026,
